Dataset,Horizon,MSE,MAE
ETTh1,24,0.44639,0.5127830505371094
ETTh1,48,0.48677,0.5527916550636292
ETTh1,96,0.52356,0.6239321231842041
ETTh1,192,0.54609,0.6823403835296631
ETTh1,336,0.54431,0.7594075202941895
ETTh1,720,0.5412,0.8111134171485901
ETTh2,24,0.34966,0.5823696851730347
ETTh2,48,0.39853,0.6607828140258789
ETTh2,96,0.4387,1.0256162881851196
ETTh2,192,0.47753,1.7486854791641235
ETTh2,336,0.50118,1.6587486267089844
ETTh2,720,0.53433,1.9421387910842896
ETTm1,24,0.24819,0.3692740201950073
ETTm1,48,0.29562,0.47770988941192627
ETTm1,96,0.32952,0.554915189743042
ETTm1,192,0.35744,0.6074175238609314
ETTm1,336,0.37349,0.6723129153251648
ETTm1,720,0.38764,0.7701687216758728
ETTm2,24,0.1777,0.36828097701072693
ETTm2,48,0.21112,0.4301711916923523
ETTm2,96,0.245,0.4912400245666504
ETTm2,192,0.27494,0.6720346808433533
ETTm2,336,0.29383,0.83502596616745
ETTm2,720,0.31112,1.5928200483322144
